Meclis Üyesi,İlçe,X OR İnstagram,Parti,link
Abbas ATAMER,Keçiören,x,Cumhuriyet Halk Partisi,https://x.com/abbas_atamer
Atila ÇELİK,Keçiören,x,Cumhuriyet Halk Partisi,https://x.com/atila_celik06
Cihan AYHAN,Keçiören,x,Cumhuriyet Halk Partisi,https://x.com/cihanayhan85
İbrahim UYAR,Keçiören,x,Cumhuriyet Halk Partisi,https://x.com/brahimuyar12
Mehmet AYGÜN,Keçiören,x,Cumhuriyet Halk Partisi,https://x.com/MehmetAAygun
Tolga TURGUT,Keçiören,x,Cumhuriyet Halk Partisi,https://x.com/TolgaTurgut_06
Abdulkadim Mert DEMİREL,Keçiören,x,Adalet Ve Kalkınma Partisi,https://x.com/avmertdemirel
Canan BARAN İZGİ,Keçiören,x,Adalet Ve Kalkınma Partisi,https://x.com/cananbaranizgi
Fatih ÜNAL,Keçiören,x,Adalet Ve Kalkınma Partisi,https://x.com/avfatihunal
Mustafa ŞEN,Keçiören,x,Adalet Ve Kalkınma Partisi,https://x.com/mustafasenkb
Nuri AYDIN,Keçiören,x,Adalet Ve Kalkınma Partisi,https://x.com/NuriAydin06
Ömer Faruk İSLAM,Keçiören,x,Adalet Ve Kalkınma Partisi,https://x.com/omerfarukislam
Ramazan KARAGÖZ,Keçiören,x,Adalet Ve Kalkınma Partisi,https://x.com/Ramazankaragoz_
