Meclis Üyesi,İlçe,x,Takipçi,Parti,Sosyal Medya Linki,Sosyal Medya Linki (2),,,
Erdal Beşikçioğlu,Etimesgut,Insta,789000,CHP,https://www.instagram.com/erdalbeskcoglu/,https://x.com/erdalbeskcioglu?s=21,,,
Veli Gündüz Şahin,Mamak,Insta,79000,CHP,https://www.instagram.com/veligunduz.sahin/,https://x.com/veligunduzsahin ,,,
Fethi Yaşar,Yenimahalle,X,73500,CHP,https://x.com/fethiyasar,https://www.instagram.com/fethi_yasar06/,,,
Hüseyin Can Güner,Çankaya,Insta,72400,CHP,https://www.instagram.com/hcanguner/,https://x.com/hcanguner,,,
Mesut Özarslan,Keçiören,Insta,66900,CHP,https://www.instagram.com/mesutozarslan58/,https://x.com/OzarslanMesut,,,
Ahmet Öksüz,Güdül,Insta,58100,BAGIMSIZ,https://www.instagram.com/ahmettoksuz/,https://x.com/06AhmetOksuz ,,,
Ertuğrul Çetin,Pursaklar,Insta,51100,AKP,https://www.instagram.com/ertugrul_cetin06/ ,https://x.com/Ertugrulcetin06 ,,,
Murat Ercan,Sincan,Insta,41100,AKP,https://www.instagram.com/muratercan0606/,https://x.com/MuratErcan0606,,,
Ahmet Özbek,Gölbaşı,Insta,28400,AKP,https://www.instagram.com/ahmet.ozbek06/,https://x.com/ahmetozbek06,,,
Baki Demirbaş,Çubuk,Insta,27100,AKP,https://www.instagram.com/avbakidemirbas/,https://x.com/avbakidemirbas,,,
Hilal Ayık,Akyurt,Insta,23800,AKP,https://www.instagram.com/ayikhilall/,https://x.com/ayikhilal,,,
Veysel Tiryaki,Altındağ,X,21700,AKP,https://x.com/DrVeyselTiryaki ,https://www.instagram.com/drveyseltiryaki/,,,
Selim Çırpanoğlu,Kahramankazan,Insta,16500,CHP,https://www.instagram.com/selimcirpanoglu/,https://x.com/selimcirpanoglu,,,
Fatih Ünal,Keçiören,X,13000,AKP,https://x.com/avfatihunal,https://www.instagram.com/avfatihunal/,,,
Yaşar Neslihanoğlu,Yenimahalle,X,13000,CHP,https://x.com/yasarnes ,https://www.instagram.com/yasar_neslihanoglu/ ,,,
Adem Barış Aşkın,Elmadağ,Insta,12900,CHP,https://www.instagram.com/adem_baris_askin/,https://x.com/Adembarisaskin,,,
Özer Kasap,Beypazarı,Insta,12800,CHP,https://www.instagram.com/drozerkasap/,https://x.com/drozerkasap,,,
Levent Koç,Haymana,Insta,11300,CHP,https://www.instagram.com/leventkockoc/,https://x.com/leventkoc06,,,
Gül Eda Gür,Çankaya,Insta,10300,CHP,https://www.instagram.com/guledahur/,https://x.com/guledahur,,,
Ahmet Buran,Bala,Insta,9995,AKP,https://www.instagram.com/buranahmet06/?hl=tr,https://x.com/buranahmet11,,,
Ertan Işık,Mamak,X,9457,CHP,https://x.com/ErtanISK,,,,
Mürsel Yıldızkaya,Polatlı,Insta,9121,CHP,https://www.instagram.com/tryildizkaya/,https://x.com/m_yildizkaya,,,
Atila Çelik,Keçiören,X,8805,CHP,https://x.com/atila_celik06,https://www.instagram.com/atilacelik06/,,,
Adem Ceylan,Çamlıdere,Insta,8675,BAGIMSIZ,https://www.instagram.com/ademceylan06/?hl=tr,https://x.com/AdemC06,,,
Süleyman Acar,Kızılcahamam,Insta,8615,AKP,https://www.instagram.com/suleyman_acar06/,https://x.com/SuleymanAcar06 ,,,
